,Column Labels,,,,,
,0,,1,,Total Sum of PassengerId,Total Sum of Pclass
Row Labels,Sum of PassengerId,Sum of Pclass,Sum of PassengerId,Sum of Pclass,,
female,35223,231,100120,447,135343,678
0,15949,116,62239,293,78188,409
1,6098,41,24407,87,30505,128
2,8888,53,11376,57,20264,110
3,737,3,2072,7,2809,10
4,736,6,,,736,6
5,2136,9,26,3,2162,12
6,679,3,,,679,3
male,210189,1159,51854,220,262043,1379
0,186006,1005,37689,160,223695,1165
1,14834,90,9544,42,24378,132
2,8448,54,4621,18,13069,72
3,87,3,,,87,3
4,800,4,,,800,4
5,14,3,,,14,3
Grand Total,245412,1390,151974,667,397386,2057
